Date,Transaction_ID,Bank_Description,Amount
2026-09-01,TXN-991,EFT TECHNova Sol,15000.00
2026-09-03,TXN-992,POS Office Supp Direct,-2450.00
2026-09-05,TXN-993,EFT APEX LOGISTICS,8500.00
2026-09-08,TXN-994,AWS EMEA,-410.00
2026-09-09,TXN-995,Monthly Account Fee,-150.00
2026-09-10,TXN-996,Payroll Run,-25000.00
2026-09-10,TXN-996,Payroll Run,-25000.00 
2026-09-12,TXN-998,VODACOM CORP AUTOPAY,-1200.00
2026-09-12,TXN-999,EFT DEP A SMITH,50000.00
2026-09-15,TXN-1000,MIMECAST SEC,-85.00
2026-09-15,TXN-1001,WM FEES INBOUND,32000.00
2026-09-16,TXN-1002,SARS eFiling Prov,-15000.00
2026-09-21,TXN-1003,DIVIDEND PAYOUT,-12500.00
2026-09-22,TXN-1004,PROPERTY RENT,-8000.00
2026-09-25,TXN-1005,CORP CATERING,-1500.00
2026-09-28,TXN-1006,BONUS POOL BATCH,-45000.00
2026-09-29,TXN-1007,Unplanned overdraft fee,-350.00
