Date,Reference,Description,Debit (ZAR),Credit (ZAR),Balance (ZAR)
01/08/2026,TXN-801,OPENING BALANCE,,,"K
96,730.00"
03/08/2026,TXN-802,POS CHINA CASH & CARRY,"4,500.00",,"92,230.00"
05/08/2026,TXN-803,POS BUILDERS W/H SANDTON,"1,250.00",N,"90,980.00"
08/08/2026,TXN-804,POS MAKRO WOODMEAD,"6,800.00",,"84,180.00"
10/08/2026,TXN-805,MONTHLY RENT ROSEBANK,"12,000.00",A,"72,180.00"
13/08/2026,TXN-806,INBOUND INV-095 (RUSH),,"65,000.00","137,180.00"
15/08/2026,TXN-807,PAYROLL RUN,"B
42,000.00",,"95,180.00"
17/08/2026,TXN-808,INBOUND INV-096 (BULK),,"85,000.00","180,180.00"
19/08/2026,TXN-809,EFT LOGISTICS FLEET MAINT,"18,500.00",,"161,680.00"
21/08/2026,TXN-810,"N
POS WALTONS SANDTON","3,400.00",,"158,280.00"
24/08/2026,TXN-811,INBOUND INV-097 (KEY ACCT),,"140,000.00","298,280.00"
28/08/2026,TXN-812,"A
POS SAINT RESTAURANT","14,500.00",,"283,780.00"
30/08/2026,TXN-813,"I
POS ISTORE SANDTON CITY","42,000.00",,"241,780.00"
31/08/2026,TXN-814,"D
MONTHLY SERVICE FEE",350.00,,"241,430.00"
