Date,Reference,Description,Debit (ZAR),Credit (ZAR),Balance (ZAR)
01/07/2026,TXN-701,OPENING BALANCE,,,"K
110,000.00"
03/07/2026,TXN-702,POS MAKRO WOODMEAD,"3,200.00",,"106,800.00"
07/07/2026,TXN-703,SARS PROV TAX 1ST PER,"45,000.00",N,"61,800.00"
10/07/2026,TXN-704,INBOUND INV-093,,"60,000.00","121,800.00"
12/07/2026,TXN-705,ZAPPER - SEATTLE COFFEE,180.00,A,"121,620.00"
15/07/2026,TXN-706,PAYROLL RUN,"42,000.00",,"79,620.00"
18/07/2026,TXN-707,VODACOM CORP AUTOPAY,"B
1,800.00",,"77,820.00"
22/07/2026,TXN-708,POS GAUTRAIN SANDTON,380.00,,"77,440.00"
25/07/2026,TXN-709,INBOUND INV-094,,"35,000.00","112,440.00"
28/07/2026,TXN-710,"N
EFT AUDITOR RETAINER","15,000.00",,"97,440.00"
30/07/2026,TXN-711,AWS EMEA,460.00,,"96,980.00"
31/07/2026,TXN-712,"A
MONTHLY SERVICE FEE",250.00,,"96,730.00"
