Date,Reference,Description,Debit (ZAR),Credit (ZAR),Balance (ZAR)
01/06/2026,TXN-601,OPENING BALANCE,,,"K
145,000.00"
02/06/2026,TXN-602,POS ENGEN ROSEBANK,850.00,,"144,150.00"
04/06/2026,TXN-603,INBOUND INV-091,,"N
25,000.00","169,150.00"
06/06/2026,TXN-604,ZAPPER - VIDA E CAFFE,240.00,,"168,910.00"
10/06/2026,TXN-605,SARS PAYE,"14,500.00",A,"154,410.00"
14/06/2026,TXN-606,POS CHECKERS (OFFICE),"1,250.00",,"153,160.00"
15/06/2026,TXN-607,PAYROLL RUN,"B
42,000.00",,"111,160.00"
18/06/2026,TXN-608,VODACOM CORP AUTOPAY,"1,800.00",,"109,360.00"
21/06/2026,TXN-609,POS ENGEN ROSEBANK,900.00,,"108,460.00"
25/06/2026,TXN-610,"N
EFT CONSULTING SERV","18,000.00",,"90,460.00"
27/06/2026,TXN-611,INBOUND INV-092,,"20,000.00","110,460.00"
29/06/2026,TXN-612,"A
AWS EMEA",460.00,,"110,000.00"
