Date,Description,Amount
03/08/2026,China Cash n Carry,-4500.0
05/08/2026,Builders Warehouse,-1250.0
10/08/2026,Property Rent Rosebank,-12000.0
13/08/2026,INV-095 Clearance,65000.0
15/08/2026,August Payroll Run,-42000.0
17/08/2026,INV-096 Clearance,85000.0
19/08/2026,Fleet Maintenance,-18500.0
21/08/2026,Waltons Stationery,-3400.0
24/08/2026,INV-097 Key Account,140000.0
28/08/2026,Saint Restaurant Team Dinner,-1450.0
30/08/2026,iStore Sandton,-42000.0
30/08/2026,iStore Sandton (Duplicate),-42000.0
31/08/2026,Meridian Bank Fees,-350.0
